[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
887.92	787.22	38.19	399.04	388.17	0.00	236.08	349.91	349.91	55.92	14.24	0.84	67108862	0.0852
781.31	692.67	17.65	472.92	219.73	0.00	229.71	466.16	466.16	55.25	27.88	0.75	67108862	0.0969
765.15	696.12	5.07	338.10	358.01	0.00	217.70	297.92	297.92	62.29	14.13	0.86	67108862	0.0964
1326.87	1258.47	3.51	898.87	359.58	0.00	332.96	856.02	856.02	16.26	19.93	0.78	67108862	0.0533
1365.98	1259.72	27.16	507.69	752.01	0.00	265.80	504.34	504.34	78.99	15.71	0.80	67108862	0.0533
892.93	781.42	49.35	615.64	165.77	0.00	238.51	582.45	582.45	64.84	15.68	0.78	67108862	0.0859
836.95	752.44	2.12	346.35	406.04	0.00	205.98	337.18	337.18	84.84	15.79	0.86	67108862	0.0892
3763.81	3662.31	46.07	430.72	3231.58	0.00	259.02	394.82	394.82	48.78	11.12	0.86	67108862	0.0183
3770.33	3641.42	52.51	3405.86	235.55	0.00	769.14	3372.41	3372.41	24.49	23.56	0.80	67108862	0.0184
3778.97	3696.56	22.04	3578.32	118.21	0.00	337.10	3544.22	3544.22	36.82	19.96	1.01	67108862	0.0182
3790.95	3696.52	5.61	3586.59	109.91	0.00	725.30	3570.47	3570.47	20.95	20.91	0.94	67108862	0.0182
897.89	824.91	11.04	724.16	100.73	0.00	226.91	698.74	698.74	52.21	19.86	0.79	67108862	0.0814
970.95	898.04	5.62	355.72	542.30	0.00	258.76	309.38	309.38	68.33	15.97	0.79	67108862	0.0747
595.77	491.64	46.13	398.90	92.74	0.00	245.61	395.06	395.06	45.53	9.48	0.81	67108862	0.1365
699.35	583.93	2.82	451.37	132.54	0.00	245.03	423.98	423.98	71.39	26.28	0.77	67108862	0.1149
382.20	330.34	7.36	255.98	74.35	0.00	161.23	238.67	238.67	42.08	9.62	0.75	67108862	0.2031
1567.30	1480.30	4.87	323.47	1156.82	0.01	222.37	305.62	305.62	45.11	23.25	0.79	67108862	0.0453
1380.67	1321.26	8.98	1191.60	129.64	0.00	340.49	1147.99	1147.99	23.60	18.43	0.91	67108862	0.0508
1460.29	1390.38	9.63	1049.92	340.44	0.00	348.09	1021.51	1021.51	39.62	15.86	0.79	67108862	0.0483
1478.80	1384.83	12.44	478.87	905.95	0.00	281.11	466.95	466.95	82.57	15.72	0.81	67108862	0.0485
3439.93	3340.53	31.97	3200.08	140.43	0.00	303.84	3174.37	3174.37	29.35	17.16	6.22	67108862	0.0201
3399.34	3327.49	5.01	3217.43	110.05	0.00	572.74	3148.74	3148.74	21.12	19.91	2.77	67108862	0.0202
761.76	664.53	40.67	509.84	154.68	0.00	247.27	496.18	496.18	54.10	17.23	0.99	67108862	0.1010
733.48	651.72	6.88	339.44	312.27	0.00	232.65	312.84	312.84	96.13	16.06	1.02	67108862	0.1030
3226.57	3147.79	13.02	3047.93	99.85	0.00	452.08	3010.24	3010.24	19.44	26.29	0.89	67108862	0.0213
3235.94	3143.82	16.22	1038.97	2104.84	0.00	424.07	1018.67	1018.67	26.00	15.59	0.75	67108862	0.0213
787.19	729.67	7.33	566.81	162.84	0.00	218.96	564.99	564.99	69.14	16.29	0.92	67108862	0.0920
765.15	688.16	9.25	409.93	278.19	0.00	234.51	382.92	382.92	80.54	15.55	0.96	67108862	0.0975
3494.73	3331.09	100.77	687.71	2643.36	0.00	476.07	497.20	497.20	94.90	19.19	2.70	67108862	0.0201
3032.80	2936.96	4.15	2752.20	184.74	0.00	602.29	2742.48	2742.48	14.26	23.08	1.05	67108862	0.0228
1345.99	1268.35	14.06	459.46	808.88	0.00	227.23	445.65	445.65	79.26	17.35	0.80	67108862	0.0529
1344.66	1259.93	2.33	967.99	291.88	0.00	384.67	963.31	963.31	43.21	15.93	0.91	67108862	0.0533
696.23	621.96	10.90	368.26	253.68	0.00	206.41	334.64	334.64	61.41	17.21	0.84	67108862	0.1079
615.89	522.07	4.71	312.69	209.37	0.00	220.97	270.09	270.09	65.64	15.65	0.80	67108862	0.1285
3887.96	3770.42	53.31	3465.17	305.25	0.00	546.47	3401.18	3401.18	18.73	21.21	4.41	67108862	0.0178
3640.03	3562.25	9.45	364.60	3197.64	0.00	232.54	349.51	349.51	84.56	22.74	0.79	67108862	0.0188
4523.39	4456.17	10.49	3574.18	881.98	0.00	521.68	3496.55	3496.55	18.89	17.05	0.96	67108862	0.0151
4420.53	4338.02	15.39	936.49	3401.51	0.00	393.63	881.41	881.41	15.74	19.12	0.97	67108862	0.0155
836.94	772.89	11.22	475.72	297.16	0.00	224.38	459.06	459.06	54.00	13.30	1.21	67108862	0.0868
813.71	734.75	12.74	382.05	352.69	0.00	228.74	359.69	359.69	68.46	17.74	0.80	67108862	0.0913
1283.43	1189.13	39.52	1074.38	114.73	0.00	205.49	1058.65	1058.65	50.80	25.71	0.77	67108862	0.0564
1265.41	1174.77	7.17	846.00	328.75	0.00	325.62	816.28	816.28	20.40	16.15	8.04	67108862	0.0571
1072.52	988.59	5.38	853.21	135.37	0.00	284.35	838.72	838.72	42.27	19.51	0.82	67108862	0.0679
1008.86	917.22	27.73	792.59	124.63	0.00	211.62	769.67	769.67	49.39	14.65	0.97	67108862	0.0732
4781.39	4696.43	5.13	4581.56	114.85	0.00	852.12	4575.65	4575.65	28.28	25.41	4.85	67108862	0.0143
4838.30	4768.29	15.50	4656.37	111.91	0.00	248.13	4628.99	4628.99	66.67	17.40	0.86	67108862	0.0141
3498.56	3406.03	21.33	3265.81	140.20	0.00	543.52	3259.31	3259.31	35.93	18.60	0.79	67108862	0.0197
3483.70	3410.17	7.68	3295.77	114.39	0.00	527.40	3267.93	3267.93	19.67	22.11	0.79	67108862	0.0197
746.49	661.61	5.52	521.05	140.53	0.00	243.55	505.40	505.40	50.52	30.36	0.75	67108862	0.1014
782.96	707.50	11.78	377.28	330.20	0.00	223.42	351.33	351.33	44.95	15.83	0.79	67108862	0.0949
3439.69	3375.38	4.54	1035.58	2339.79	0.00	351.05	1014.88	1014.88	26.29	22.63	0.79	67108862	0.0199
3505.91	3386.61	34.39	3288.32	98.27	0.00	663.98	3257.61	3257.61	15.46	36.49	0.85	67108862	0.0198
1715.90	1611.47	41.93	1455.91	155.54	0.00	237.28	1425.25	1425.25	54.05	20.50	0.84	67108862	0.0416
1676.02	1579.86	7.82	1467.66	112.19	0.00	465.04	1455.50	1455.50	22.91	16.65	0.77	67108862	0.0425
3300.81	3142.67	95.53	2523.77	618.88	0.00	567.36	2392.61	2392.61	47.44	35.07	6.21	67108862	0.0214
